renew req %,Pricing,Cellulosic cost,Total biomass,Feedstock distribution,Cellulosic yield,Oil elasticity,Demand elasticity,Electricity coproduction,oil supply shift,Biomass backstop price,input record,Expen change,Incremental cost,Less than 10%,Greater than 90%
0.25,1,124.9000015,612.7999878,0.039999999,89.5,0.206,-0.469000012,1.830000043,0.078000002,162.1999969,1001,60,276.47,0,0
0.25,1,67.30000305,837.2000122,0.180000007,95.90000153,0.27700001,-0.379999995,0.01,-0.032000002,150.3000031,1002,19.42,85.07,0,0
0.25,1,71,740.4000244,0.800000012,83.5,0.444999993,-0.777999997,0.25,-0.093000002,135.8000031,1003,17.76,200.11,0,0
0.25,1,80.09999847,995.5999756,0.579999983,82.40000153,0.291000009,-0.333999991,0.079999998,-0.086000003,98.80000305,1004,37.88,130.86,0,0
0.25,1,76.40000153,476.3999939,0.790000021,97.5,0.442999989,-0.204999998,1.590000033,0.072999999,163.5,1006,66.13,180.11,0,0
0.25,1,90,689.7999878,0.219999999,94.40000153,0.256000012,-0.790000021,1.820000052,0.066,174.8999939,1007,5.49,119.86,1,0
0.25,1,85.19999695,500.6000061,0.07,90.59999847,0.293000013,-0.711000025,0.589999974,-0.017999999,114.1999969,1008,16.83,157.92,0,0
0.25,1,106.0999985,639.2000122,0.280000001,90.80000305,0.231999993,-0.377999991,1.860000014,-0.052000001,111.5999985,1009,51.47,188.45,0,0
0.25,1,89.5,802,0.209999993,94.40000153,0.40200001,-0.555000007,1.769999981,-0.015,141.5,1010,20.71,116.71,0,0
0.25,1,85.19999695,874.5999756,0.74000001,89.5,0.578999996,-0.737999976,0.569999993,-0.034000002,185,1011,9.18,95.26,1,0
0.25,1,132.6999969,857,0.649999976,81.69999695,0.388999999,-0.414000005,1.960000038,-0.081,108.9000015,1013,62.79,232.19,0,0
0.25,1,99.69999695,740.4000244,0.02,92.59999847,0.407999992,-0.470999986,1.580000043,0.017000001,159.1000061,1015,30.77,138.77,0,0
0.25,1,90.59999847,760.2000122,0.400000006,88.90000153,0.527999997,-0.632000029,0.939999998,-0.063000001,102.3000031,1016,24.55,155.67,0,0
0.25,1,97.80000305,654.5999756,0.340000004,97.59999847,0.573000014,-0.314999998,0.07,0.028000001,193,1017,82.07,253.9,0,1
0.25,1,99.69999695,956,0.980000019,91.40000153,0.342000008,-0.439999998,0.129999995,-0.032000002,152,1018,31.02,127.5,0,0
0.25,1,96.19999695,696.4000244,0.01,80.59999847,0.463999987,-0.574000001,1.980000019,0.016000001,96.59999847,1019,32.11,178.09,0,0
0.25,1,129.6999969,661.2000122,0.189999998,88.19999695,0.465999991,-0.751999974,0.730000019,0.093999997,171.8000031,1020,28.71,183.16,0,0
0.25,1,83.90000153,824,0.949999988,83.19999695,0.36500001,-0.202000007,1.25999999,-0.064000003,187.6999969,1021,117.18,301.48,0,1
0.25,1,93.5,535.7999878,0.400000006,80,0.25,-0.246000007,1.549999952,-0.008,184.1999969,1023,114.64,324,0,1
0.25,1,94.09999847,848.2000122,0.629999995,87.5,0.418000013,-0.721000016,0.910000026,-0.050000001,114.5999985,1024,16.02,147.11,0,0
0.25,1,131.6000061,612.7999878,0.639999986,89,0.486000001,-0.294,0.779999971,-0.059999999,130.8999939,1025,87.42,258.28,0,1
0.25,1,83.59999847,876.7999878,0.649999976,90.40000153,0.351999998,-0.561999977,0.109999999,-0.013,137.5,1026,17.33,104.7,0,0
0.25,1,107.6999969,505,0.239999995,91.40000153,0.202999994,-0.416000009,1.059999943,0.07,136.6000061,1027,49.14,206.95,0,0
0.25,1,83.09999847,659,0.050000001,95.19999695,0.497999996,-0.330000013,1.090000033,0.097999997,138.3999939,1028,47.4,160.04,0,0
0.25,1,129.1999969,960.4000244,0.330000013,95.80000305,0.583999991,-0.39199999,1.779999971,0.017999999,195.1999969,1029,32.74,122.28,0,0
0.25,1,130.5,483,0.159999996,92.09999847,0.49000001,-0.513999999,0.879999995,-0.035,183.3000031,1030,69.28,316.99,0,0
0.25,1,121.6999969,659,0.699999988,92.09999847,0.398000002,-0.296000004,0.239999995,-0.083999999,189.8999939,1031,107.7,318.82,0,1
0.25,1,89,786.5999756,0.469999999,90.40000153,0.243000001,-0.681999981,1.870000005,0.009,144.6000061,1032,13.39,125.4,0,0
0.25,1,111,755.7999878,0.460000008,89.80000305,0.407999992,-0.25,0.920000017,-0.059,119,1033,73.98,207.75,0,0
0.25,1,124.4000015,821.7999878,0.910000026,88.09999847,0.444999993,-0.677999973,0.779999971,0.034000002,94,1034,24.16,187.83,0,0
0.25,1,118.1999969,568.7999878,0.379999995,89.80000305,0.246000007,-0.252999991,1.679999948,0.090000004,156,1035,84.56,253.96,0,1
0.25,1,104.8000031,984.5999756,0.660000026,80.40000153,0.573000014,-0.354000002,1.289999962,0.056000002,94.80000305,1037,54.87,185.66,0,0
0.25,1,98.40000153,969.2000122,0.529999971,95.30000305,0.237000003,-0.349000007,1.25999999,0.057,146.3000031,1038,20.06,89.49,0,0
0.25,1,102.0999985,575.4000244,0.360000014,80.80000305,0.400000006,-0.425999999,0.74000001,0.057999998,102.8000031,1039,47.81,192.05,0,0
0.25,1,69.69999695,903.2000122,0.579999983,86.80000305,0.349000007,-0.601000011,1.559999943,-0.086000003,177.1000061,1041,18.48,116.46,0,0
0.25,1,105.0999985,522.5999756,0.910000026,96,0.39199999,-0.661000013,1.169999957,-0.088,133.1000061,1042,28.93,200.94,0,0
0.25,1,130.1999969,938.4000244,0.310000002,87.40000153,0.230000004,-0.713999987,0.409999996,-0.002,198.1999969,1043,17.04,168.37,0,0
0.25,1,98.09999847,454.3999939,0.899999976,93.09999847,0.472000003,-0.488000005,0.02,0.045000002,116,1044,35.67,162.61,0,0
0.25,1,125.6999969,661.2000122,0.769999981,93.5,0.347000003,-0.5,1.620000005,-0.028000001,139.3000031,1045,53.22,241.94,0,0
0.25,1,87.09999847,524.7999878,0.720000029,90.19999695,0.368000001,-0.782999992,0.930000007,0.055,112.9000015,1046,10.87,150.62,1,0
0.25,1,130.8000031,986.7999878,0.289999992,85.30000305,0.243000001,-0.578999996,0,-0.041999999,168.3000031,1047,31.11,181.68,0,0
0.25,1,82.5,678.7999878,0.980000019,98.09999847,0.583999991,-0.474000007,0.649999976,0.063000001,100.0999985,1049,22.31,103.04,0,0
0.25,1,126.1999969,850.4000244,0.779999971,92.19999695,0.381000012,-0.526000023,1.100000024,-0.068000004,176.6999969,1051,31.04,152.23,0,0
0.25,1,131.8999939,610.5999756,1,91.09999847,0.268999994,-0.699000001,0.709999979,0.057,177.1000061,1052,34.68,305.54,0,0
0.25,1,75.80000305,929.5999756,0.529999971,90.40000153,0.551999986,-0.326999992,1.149999976,0.074000001,126.0999985,1053,22.74,68.88,0,0
0.25,1,132.1000061,846,0.340000004,89.40000153,0.477999985,-0.625,0.75999999,0.017000001,179.3000031,1054,22.21,145.82,0,0
0.25,1,69.90000153,817.4000244,0.200000003,95.40000153,0.573000014,-0.713999987,0.860000014,0.035,182,1056,7.96,81.39,1,0
0.25,1,99.40000153,736,0.75999999,85,0.58099997,-0.272000015,0.959999979,0.037999999,137.5,1057,78.64,227.48,0,1
0.25,1,90.59999847,962.5999756,0.170000002,98.5,0.575999975,-0.501999974,1.029999971,-0.029999999,106.3000031,1058,12.79,67.62,1,0
0.25,1,132.8999939,929.5999756,0.159999996,92.69999695,0.412999988,-0.488000005,1.600000024,-0.007,183.3000031,1059,37.19,167.97,0,0
0.25,1,77.69999695,612.7999878,0.300000012,90.69999695,0.495999992,-0.797999978,1.919999957,-0.009,125.5999985,1060,12.02,160.81,1,0
0.25,1,105.0999985,454.3999939,0.810000002,82.80000305,0.294,-0.691999972,0.150000006,-0.059,117.6999969,1061,28.34,227.62,0,0
0.25,1,70.5,832.7999878,0.939999998,98.5,0.569999993,-0.351000011,0.340000004,0.097000003,161.6999969,1062,16.84,68.67,0,0
0.25,1,93,623.7999878,0.370000005,95.90000153,0.208000004,-0.74000001,0.360000014,-0.050000001,173.6000061,1063,23.48,240.31,0,0
0.25,1,77.5,951.5999756,0.340000004,82.69999695,0.453000009,-0.282000005,0.50999999,-0.090000004,97.90000153,1064,50.75,151.87,0,0
0.25,1,70.5,949.4000244,0.699999988,82.69999695,0.340999991,-0.416000009,0.5,0.006,152,1066,23.86,103.72,0,0
0.25,1,81.69999695,920.7999878,0.839999974,85.80000305,0.533999979,-0.337000012,0.119999997,0.023,185.8999939,1067,21.18,79.09,0,0
0.25,1,77.5,544.5999756,0.230000004,87.40000153,0.490999997,-0.685000002,0.769999981,0.075000003,123.9000015,1070,19.57,160.15,0,0
0.25,1,84.19999695,584.2000122,0.25999999,87.30000305,0.330000013,-0.291000009,0.800000012,0.043000001,91.80000305,1071,36.94,124.85,0,0
0.25,1,73.19999695,494,0.209999993,93.30000305,0.58099997,-0.214000002,1.149999976,0.029999999,186.3999939,1072,86.3,227.52,0,1
0.25,1,115.8000031,980.2000122,0.910000026,96.30000305,0.361999989,-0.437999994,0.090000004,-0.022,163.8999939,1073,32.11,135.06,0,0
0.25,1,132.8999939,502.7999878,0.50999999,88.19999695,0.331,-0.446999997,1.950000048,-0.039999999,90.40000153,1076,49.82,203.32,0,0
0.25,1,129.1999969,630.4000244,0.029999999,92.59999847,0.563000023,-0.726000011,1.029999971,0.054000001,127.4000015,1077,24.7,224.51,0,0
0.25,1,130.5,652.4000244,0.939999998,87.80000305,0.282000005,-0.246000007,0.050000001,0.008,104.5,1078,74.75,216.71,0,0
0.25,1,90.90000153,579.7999878,0.75,88.40000153,0.326000005,-0.601000011,0.230000004,-0.026000001,148.1000061,1079,37.66,224.89,0,0
0.25,1,98.40000153,912,0.170000002,86,0.437999994,-0.561999977,0.949999988,-0.066,106.3000031,1081,35.51,184.69,0,0
0.25,1,67.30000305,469.7999878,0.560000002,86.19999695,0.381999999,-0.252999991,0.800000012,-0.061000001,178.8999939,1082,88.24,247.2,0,1
0.25,1,119,509.3999939,0.219999999,82,0.289999992,-0.291000009,0.25999999,-0.023,198.1999969,1083,125.74,378.03,0,1
0.25,1,120.0999985,599.5999756,0.5,88,0.331,-0.298000008,0.879999995,-0.098999999,172.6999969,1084,105.39,314.09,0,1
0.25,1,118.5,619.4000244,0.680000007,98,0.493000001,-0.463999987,1.25999999,-0.016000001,190.8000031,1085,68.69,281.94,0,0
0.25,1,103.4000015,608.4000244,0.560000002,82.59999847,0.402999997,-0.74000001,0.479999989,-0.033,151.1999969,1086,28.78,275.23,0,0
0.25,1,133.6999969,720.5999756,0.939999998,92.5,0.26699999,-0.321999997,1.110000014,0.090000004,100.0999985,1087,52.97,184.96,0,0
0.25,1,68.09999847,876.7999878,0.039999999,88.5,0.300999999,-0.209999993,0.980000019,-0.063000001,167.3999939,1088,36.16,107.37,0,0
0.25,1,133.1999969,577.5999756,0.209999993,90.19999695,0.437999994,-0.458999991,0.419999987,0.026000001,177.1000061,1089,76.18,315.42,0,0
0.25,1,128.3999939,604,0.379999995,95.30000305,0.546999991,-0.653999984,0.079999998,0.005,123.9000015,1090,31.21,212.8,0,0
0.25,1,133.6999969,553.4000244,0.059999999,91.30000305,0.317000002,-0.261999995,1.440000057,0.057999998,179.3000031,1091,105.59,309.2,0,1
0.25,1,78.80000305,507.2000122,0.270000011,95.90000153,0.433999985,-0.351000011,0.519999981,0.097000003,138,1092,42,150.83,0,0
0.25,1,109.3000031,791,0.360000014,99,0.578000009,-0.409000009,0,-0.048,94.80000305,1094,37.43,139.43,0,0
0.25,1,97.30000305,463.2000122,0.540000021,85.90000153,0.266000003,-0.522000015,0.170000002,0.022,168.8000031,1095,54.49,271.29,0,0
0.25,1,74,520.4000244,0.639999986,87.90000153,0.421999991,-0.638999999,0.460000008,0.025,141,1097,27.05,184.43,0,0
0.25,1,72.40000153,560,0.170000002,81.40000153,0.493000001,-0.430000007,0.49000001,-0.082000002,111.0999985,1098,44.02,168.5,0,0
0.25,1,73.69999695,621.5999756,0.469999999,86.19999695,0.526000023,-0.257999986,1.779999971,-0.045000002,195.6000061,1099,100.58,279.59,0,1
0.25,1,116,973.5999756,0.400000006,81.40000153,0.578000009,-0.349000007,1.460000038,-0.046,164.8000031,1100,56.58,184.91,0,0
